user_id,arm_index,adaptation_config_json,wpm,comprehension_score,comprehension_type,reward,data_source
demo,1,"{""letter_spacing_em"": 0.04, ""word_spacing_em"": 0.0, ""hyphenation_on"": false, ""emphasis_on"": false, ""color_overlay_on"": false, ""chunked_on"": false, ""opendyslexic_on"": false}",153.0,0.75,self_rated,0.5134,real_user
demo,6,"{""letter_spacing_em"": 0.04, ""word_spacing_em"": 0.16, ""hyphenation_on"": false, ""emphasis_on"": true, ""color_overlay_on"": false, ""chunked_on"": false, ""opendyslexic_on"": false}",172.0,0.75,self_rated,0.5666,real_user
demo,0,"{""letter_spacing_em"": 0.0, ""word_spacing_em"": 0.0, ""hyphenation_on"": false, ""emphasis_on"": false, ""color_overlay_on"": false, ""chunked_on"": false, ""opendyslexic_on"": false}",127.0,1.0,self_rated,0.5156,real_user
demo,3,"{""letter_spacing_em"": 0.04, ""word_spacing_em"": 0.16, ""hyphenation_on"": false, ""emphasis_on"": false, ""color_overlay_on"": false, ""chunked_on"": false, ""opendyslexic_on"": false}",189.0,0.75,self_rated,0.6142,real_user
demo,1,"{""letter_spacing_em"": 0.04, ""word_spacing_em"": 0.0, ""hyphenation_on"": false, ""emphasis_on"": false, ""color_overlay_on"": false, ""chunked_on"": false, ""opendyslexic_on"": false}",150.0,1.0,self_rated,0.58,real_user
demo,1,"{""letter_spacing_em"": 0.04, ""word_spacing_em"": 0.0, ""hyphenation_on"": false, ""emphasis_on"": false, ""color_overlay_on"": false, ""chunked_on"": false, ""opendyslexic_on"": false}",149.0,1.0,self_rated,0.5772,real_user
demo,0,"{""letter_spacing_em"": 0.0, ""word_spacing_em"": 0.0, ""hyphenation_on"": false, ""emphasis_on"": false, ""color_overlay_on"": false, ""chunked_on"": false, ""opendyslexic_on"": false}",164.0,0.5,self_rated,0.4692,real_user
demo,1,"{""letter_spacing_em"": 0.04, ""word_spacing_em"": 0.0, ""hyphenation_on"": false, ""emphasis_on"": false, ""color_overlay_on"": false, ""chunked_on"": false, ""opendyslexic_on"": false}",131.0,0.75,self_rated,0.4518,real_user
demo,10,"{""letter_spacing_em"": 0.04, ""word_spacing_em"": 0.16, ""hyphenation_on"": false, ""emphasis_on"": false, ""color_overlay_on"": false, ""chunked_on"": false, ""opendyslexic_on"": true}",183.0,1.0,self_rated,0.6724,real_user
demo,1,"{""letter_spacing_em"": 0.04, ""word_spacing_em"": 0.0, ""hyphenation_on"": false, ""emphasis_on"": false, ""color_overlay_on"": false, ""chunked_on"": false, ""opendyslexic_on"": false}",143.0,0.75,self_rated,0.4854,real_user
